timestamp,experiment,payload,route,variant,verdict,reason,effect,preconditions,mission_impact,fc_impact,gcs_or_log_impact,observed_signal,bundle
2026-07-07T02:52:55.420253+00:00,E18_payload_matrix,gps-input,fc-direct,stealth-opt,pass,existing GPS_INPUT result reused,position-estimate/geofence deception,trusted GPS_INPUT path to FC,geofence decision impact,1,0,reflection_rate=0.9016393442622951,/home/user/ai-folder/contest-DAH/DAH2026_GhostPilot/DAH2026_GhostPilot/results/b_path/20260707T011423_872299Z_E13_route_relaxation
2026-07-07T02:52:55.420269+00:00,E18_payload_matrix,gps-input,mavproxy-udp,stealth-opt,pass,existing GPS_INPUT result reused,position-estimate/geofence deception,trusted GPS_INPUT path to FC,geofence decision impact,1,0,reflection_rate=0.9,/home/user/ai-folder/contest-DAH/DAH2026_GhostPilot/DAH2026_GhostPilot/results/b_path/20260707T011423_872299Z_E13_route_relaxation
2026-07-07T02:52:55.420272+00:00,E18_payload_matrix,gps-input,companion,stealth-opt,pass,existing GPS_INPUT result reused,position-estimate/geofence deception,trusted GPS_INPUT path to FC,geofence decision impact,1,0,reflection_rate=0.9016393442622951,/home/user/ai-folder/contest-DAH/DAH2026_GhostPilot/DAH2026_GhostPilot/results/b_path/20260707T011423_872299Z_E13_route_relaxation
2026-07-07T02:45:27.877870+00:00,E19_mode_command,mode-command,fc-direct,RTL,pass,HEARTBEAT mode changed to RTL,direct flight-mode control,MAVLink write access; mode accepted by vehicle,immediate mode change,1,0,HEARTBEAT.mode=RTL,
2026-07-07T02:45:59.793188+00:00,E19_mode_command,mode-command,fc-direct,LAND,pass,HEARTBEAT mode changed to LAND,direct flight-mode control,MAVLink write access; mode accepted by vehicle,immediate mode change,1,0,HEARTBEAT.mode=LAND,
2026-07-07T02:46:32.202893+00:00,E19_mode_command,mode-command,fc-direct,BRAKE,pass,HEARTBEAT mode changed to BRAKE,direct flight-mode control,MAVLink write access; mode accepted by vehicle,immediate mode change,1,0,HEARTBEAT.mode=BRAKE,
2026-07-07T02:47:04.115836+00:00,E19_mode_command,mode-command,fc-direct,LOITER,pass,HEARTBEAT mode changed to LOITER,direct flight-mode control,MAVLink write access; mode accepted by vehicle,immediate mode change,1,0,HEARTBEAT.mode=LOITER,
2026-07-07T02:47:38.546130+00:00,E19_mode_command,mode-command,mavproxy-udp,RTL,pass,HEARTBEAT mode changed to RTL,direct flight-mode control,MAVLink write access; mode accepted by vehicle,immediate mode change,1,0,HEARTBEAT.mode=RTL,
2026-07-07T02:48:12.875998+00:00,E19_mode_command,mode-command,mavproxy-udp,LAND,pass,HEARTBEAT mode changed to LAND,direct flight-mode control,MAVLink write access; mode accepted by vehicle,immediate mode change,1,0,HEARTBEAT.mode=LAND,
2026-07-07T02:48:47.604981+00:00,E19_mode_command,mode-command,mavproxy-udp,BRAKE,pass,HEARTBEAT mode changed to BRAKE,direct flight-mode control,MAVLink write access; mode accepted by vehicle,immediate mode change,1,0,HEARTBEAT.mode=BRAKE,
2026-07-07T02:49:21.805188+00:00,E19_mode_command,mode-command,mavproxy-udp,LOITER,pass,HEARTBEAT mode changed to LOITER,direct flight-mode control,MAVLink write access; mode accepted by vehicle,immediate mode change,1,0,HEARTBEAT.mode=LOITER,
2026-07-07T02:49:54.209401+00:00,E19_mode_command,mode-command,companion,RTL,pass,HEARTBEAT mode changed to RTL,direct flight-mode control,MAVLink write access; mode accepted by vehicle,immediate mode change,1,0,HEARTBEAT.mode=RTL,
2026-07-07T02:50:26.121845+00:00,E19_mode_command,mode-command,companion,LAND,pass,HEARTBEAT mode changed to LAND,direct flight-mode control,MAVLink write access; mode accepted by vehicle,immediate mode change,1,0,HEARTBEAT.mode=LAND,
2026-07-07T02:50:58.034746+00:00,E19_mode_command,mode-command,companion,BRAKE,pass,HEARTBEAT mode changed to BRAKE,direct flight-mode control,MAVLink write access; mode accepted by vehicle,immediate mode change,1,0,HEARTBEAT.mode=BRAKE,
2026-07-07T02:51:30.243921+00:00,E19_mode_command,mode-command,companion,LOITER,pass,HEARTBEAT mode changed to LOITER,direct flight-mode control,MAVLink write access; mode accepted by vehicle,immediate mode change,1,0,HEARTBEAT.mode=LOITER,
2026-07-07T02:52:07.170536+00:00,E20_mission_edit,mission-edit,fc-direct,single-waypoint-upload,pass,mission upload ACK/readback confirmed,mission path modification,MAVLink mission upload/write access,mission list changed,1,0,uploaded=True; readback_count=2; max_mission_seq=0,
2026-07-07T02:52:30.387291+00:00,E21_param_edit,param-edit,fc-direct,fence-speed-failsafe-params,pass,4/4 parameter changes confirmed; speed_param=WP_SPD,persistent configuration change,MAVLink parameter write access,configuration/stateful mission behavior can be changed later,1,0,"PARAM_VALUE readback; required=FENCE_RADIUS,FENCE_ACTION,WP_SPD",
2026-07-07T02:52:55.406422+00:00,E22_telemetry_deception,telemetry-deception,fc-direct,GLOBAL_POSITION_INT,pass,output-style message did not contaminate FC input,GCS/log stream confusion only,MAVLink access to telemetry stream; not FC sensor input,"operator/log deception, not autonomous FC behavior change",0,1,reflection_rate=0.0,/home/user/ai-folder/contest-DAH/DAH2026_GhostPilot/DAH2026_GhostPilot/results/b_path/20260707T025231_390703Z_E22_telemetry_deception
